5,4,3,2,1,0
0,1,698,98387,63511151,3212331
651,2,6878,3154,86748461,5445464
,1325465,,321,,351231
,,,,,
3213521,31,53641531,3513521,3255151,231
,3132133,,,,23131
,,654654456,,,
,,,,,
4,65465,,6,654,
,654,64,132314,541,
531,,,,,
,5621,53251,213,,
,,,11,123121,
,,,,231,
545,45664,,64,,2
464,4454,4,,4484,56
,654,,,,
4,545,5,6,,
,34,,45,5,
,564,4,55,64,
,,5654,644,,
,564,,,,5
,6,,65,,64
6454,45,,4,6,
,56,564,546,,
,45,,,,
,465,56,4,,
56,64,,546,656,
564,45,,,4,
,545,,,56,564
45,4,6,4,456,
,,654,4,,
,56,,,,
,1321,,1321,,
,23,23,21,23,
,1,3,23,1,
,,,,321,
31,12,,,1,2
1,,23,1,2,
2,1,,113,,
,312,21,,5432,321
21,312,3,213,0,
,321,,,123,
